"cor.mean","cor.var","R2.loading","R2.intercept"
1,0.976190476190476,0.996835179345793,0.99955970714857
0.976190476190476,1,0.99643462290754,0.999364582794093
1,0.976190476190476,0.995816711242017,0.999380294685054
0.976190476190476,0.952380952380953,0.995850201350129,0.999173244286028
1,0.976190476190476,0.996654028865877,0.999304512868799
1,1,0.99754894657135,0.999443136797496
1,0.976190476190476,0.996401873459334,0.999437205342167
1,1,0.996905068595351,0.999375291078172
1,1,0.997095280521718,0.999449416025069
1,1,0.997302720159143,0.999436513922585
1,1,0.996293181252351,0.999320190829991
1,0.976190476190476,0.997014695441596,0.999299985080115
1,1,0.997157920973059,0.999219147897686
1,1,0.99626069178218,0.99955290375562
1,0.976190476190476,0.997355515685879,0.999265379362364
1,0.976190476190476,0.995770585129283,0.999177202361669
0.976190476190476,1,0.996962649549085,0.999144330945169
0.976190476190476,0.976190476190476,0.995537123000926,0.999211486833991
1,1,0.996887809342146,0.999260268430188
1,1,0.995245226850911,0.999060302172582
1,1,0.995821612448456,0.999228511619769
1,1,0.997574821453291,0.999455718358536
1,1,0.996612006675931,0.999175674924612
1,1,0.996715605206985,0.999261455815706
1,1,0.995240509472433,0.999433237555856
1,0.976190476190476,0.996500509312415,0.999378869530782
1,1,0.995535228977671,0.999324865186366
1,1,0.994665303549925,0.999308868504996
1,0.976190476190476,0.997437723714075,0.999405905173964
1,1,0.997679088924524,0.999370245795141
1,1,0.995303032333,0.999405660201566
1,1,0.996894070963113,0.99907970574025
0.976190476190476,0.976190476190476,0.995215592851903,0.999278135349255
1,0.976190476190476,0.996863708620071,0.999430832138917
1,1,0.996163685302293,0.999430957036498
1,1,0.996633656909732,0.999469255668387
1,1,0.996695520210558,0.999380803479349
1,1,0.996614087009158,0.999456181954594
1,1,0.996467198810024,0.999285395353221
1,1,0.996381540246534,0.999500546229017
1,1,0.997492922264193,0.999515036482187
1,1,0.995240049991008,0.999411958095865
1,1,0.996747929539543,0.999277835196319
1,1,0.996894606371201,0.999356575741091
1,1,0.996698079106055,0.999461470667481
1,1,0.996924639209346,0.999442711762344
1,0.976190476190476,0.996778393709071,0.999444371927442
